loan_amnt,title,dti,emp_length,approved
20000,Debt consolidation,33.54,5 years,Yes
6000,Debt consolidation,23.51,6 years,Yes
7000,Debt consolidation,6.58,< 1 year,Yes
5000,Credit card refinancing,12.7,1 year,Yes
12000,Debt consolidation,15.52,3 years,Yes
10000,Debt consolidation,31.16,< 1 year,Yes
29450,Debt consolidation,10.99,9+ years,Yes
10000,Credit card refinancing,29.46,9+ years,Yes
7300,Credit card refinancing,7.87,9+ years,Yes
13500,Home buying,1.9,3 years,Yes
25000,Debt consolidation,18.96,< 1 year,Yes
19500,Debt consolidation,10.86,3 years,Yes
10000,Debt consolidation,34.18,9+ years,Yes
8000,Debt consolidation,21.54,9+ years,Yes
5000,Debt consolidation,14.42,9+ years,Yes
8000,Debt consolidation,19.01,1 year,Yes
10000,Debt consolidation,8.81,9+ years,Yes
9000,Debt consolidation,11.83,3 years,Yes
20000,Credit card refinancing,15.44,5 years,Yes
20000,Other,25.31,9+ years,Yes
24000,Debt consolidation,26.07,< 1 year,Yes
5000,Credit card refinancing,10.97,2 years,Yes
20000,Debt consolidation,28.69,3 years,Yes
35000,Debt consolidation,15.37,2 years,Yes
20000,Debt consolidation,22.26,6 years,Yes
3900,Debt consolidation,4.56,2 years,Yes
40000,Debt consolidation,17.06,2 years,Yes
10000,Debt consolidation,4.65,9+ years,Yes
18000,Debt consolidation,12.62,9+ years,Yes
10000,Home buying,7.94,8 years,Yes
8000,Debt consolidation,13.1,2 years,Yes
10000,Credit card refinancing,21.71,7 years,Yes
7000,Credit card refinancing,16.1,9+ years,Yes
5900,Other,14.58,< 1 year,Yes
4000,Credit card refinancing,4.18,< 1 year,Yes
6000,Debt consolidation,9.26,1 year,Yes
25000,Debt consolidation,12.67,5 years,Yes
4800,Other,7.27,4 years,Yes
12000,Debt consolidation,35.05,8 years,Yes
3000,Debt consolidation,20.96,1 year,Yes
13000,Home buying,15.46,< 1 year,Yes
40000,Debt consolidation,10.88,< 1 year,Yes
6000,Credit card refinancing,24.28,< 1 year,Yes
3500,Debt consolidation,7.52,9+ years,Yes
10100,Debt consolidation,13.49,2 years,Yes
2500,Other,13.02,9+ years,Yes
5100,Debt consolidation,13,7 years,Yes
3500,Credit card refinancing,34.47,3 years,Yes
10000,Credit card refinancing,24.58,7 years,Yes
21000,Debt consolidation,6.12,3 years,Yes
3600,Debt consolidation,15.33,9+ years,Yes
20000,Debt consolidation,8.23,9+ years,Yes
35000,Major purchase,7.59,1 year,Yes
10000,Debt consolidation,17.57,9+ years,Yes
30000,Debt consolidation,32.29,5 years,Yes
13500,Debt consolidation,34.11,3 years,Yes
12000,Debt consolidation,24.37,5 years,Yes
9350,Credit card refinancing,20.99,9+ years,Yes
15500,Debt consolidation,7.64,9+ years,Yes
20000,Debt consolidation,33.99,< 1 year,Yes
6000,Debt consolidation,17.48,5 years,Yes
32000,Debt consolidation,15.05,3 years,Yes
18500,Credit card refinancing,17.28,4 years,Yes
15000,Debt consolidation,17.3,9+ years,Yes
11000,Debt consolidation,5.3,9+ years,Yes
4800,Home improvement,26.59,9+ years,Yes
10000,Debt consolidation,20.26,8 years,Yes
16000,Credit card refinancing,30.95,9+ years,Yes
7200,Debt consolidation,18.32,6 years,Yes
6000,Credit card refinancing,17.31,4 years,Yes
30000,Credit card refinancing,20.91,9+ years,Yes
20000,Credit card refinancing,15.29,7 years,Yes
5100,Debt consolidation,9.13,5 years,Yes
19500,Credit card refinancing,29.83,9+ years,Yes
7000,Credit card refinancing,16.94,2 years,Yes
2200,Credit card refinancing,24.38,< 1 year,Yes
20000,Other,11.94,5 years,Yes
33000,Credit card refinancing,24.53,9+ years,Yes
21000,Other,7.07,< 1 year,Yes
30000,Debt consolidation,19.36,9+ years,Yes
15000,Debt consolidation,20.78,5 years,Yes
20000,Credit card refinancing,21.88,1 year,Yes
25500,Debt consolidation,21.51,1 year,Yes
17000,Debt consolidation,19.65,2 years,Yes
15000,Credit card refinancing,5.86,9+ years,Yes
16000,Other,17.94,9+ years,Yes
20000,Debt consolidation,34.29,9+ years,Yes
8200,Home improvement,17.39,< 1 year,Yes
2000,Debt consolidation,24.82,9+ years,Yes
28150,Debt consolidation,24.48,9+ years,Yes
13200,Debt consolidation,17.66,2 years,Yes
6800,Debt consolidation,14.86,9+ years,Yes
15000,Debt consolidation,18.89,< 1 year,Yes
3000,Car financing,3.31,9+ years,Yes
30000,Credit card refinancing,20.85,9+ years,Yes
40000,Debt consolidation,22.75,< 1 year,Yes
14500,Credit card refinancing,13.85,2 years,Yes
9000,Debt consolidation,9.24,9+ years,Yes
3500,Debt consolidation,9.5,9+ years,Yes
40000,Credit card refinancing,17.45,9+ years,Yes
10000,Debt consolidation,12.15,9+ years,Yes
24000,Credit card refinancing,28.87,9+ years,Yes
5000,Vacation,36.3,< 1 year,Yes
3500,Home improvement,29.09,3 years,Yes
10000,Credit card refinancing,19.85,9+ years,Yes
16000,Debt consolidation,5.95,9+ years,Yes
40000,Medical expenses,7.07,2 years,Yes
8250,Debt consolidation,19.03,< 1 year,Yes
7000,Debt consolidation,24.8,6 years,Yes
10000,Other,28.18,9+ years,Yes
36000,Debt consolidation,33.17,9+ years,Yes
25000,Debt consolidation,18.63,6 years,Yes
2000,Home improvement,33.77,4 years,Yes
5000,Home buying,19.12,< 1 year,Yes
17500,Credit card refinancing,18.74,9+ years,Yes
40000,Debt consolidation,24.09,1 year,Yes
18000,Debt consolidation,11,4 years,Yes
4200,Debt consolidation,16.22,7 years,Yes
12500,Credit card refinancing,5.94,9+ years,Yes
30000,Debt consolidation,9.99,2 years,Yes
12000,Credit card refinancing,15.47,9+ years,Yes
28000,Credit card refinancing,14.9,1 year,Yes
7500,Debt consolidation,13.33,9+ years,Yes
15000,Debt consolidation,21.25,1 year,Yes
30000,Debt consolidation,23.65,< 1 year,Yes
30000,Debt consolidation,16.5,7 years,Yes
10000,Credit card refinancing,13.09,< 1 year,Yes
3000,Other,13.79,2 years,Yes
20000,Debt consolidation,32.13,1 year,Yes
29000,Debt consolidation,15.62,9+ years,Yes
11500,Debt consolidation,20.85,7 years,Yes
15000,Debt consolidation,16.8,2 years,Yes
5000,Other,35.73,3 years,Yes
20000,Debt consolidation,16.42,8 years,Yes
25000,Debt consolidation,8.2,9+ years,Yes
23000,Debt consolidation,15.76,9+ years,Yes
5000,Credit card refinancing,12.74,< 1 year,Yes
17000,Credit card refinancing,9.75,3 years,Yes
21000,Debt consolidation,14.16,9+ years,Yes
11000,Debt consolidation,25.13,6 years,Yes
8000,Debt consolidation,26.73,1 year,Yes
11000,Debt consolidation,23.58,7 years,Yes
7000,Debt consolidation,14.61,1 year,Yes
7000,Debt consolidation,14.01,3 years,Yes
25000,Debt consolidation,28.98,5 years,Yes
40000,Credit card refinancing,6.37,< 1 year,Yes
2800,Credit card refinancing,3.49,5 years,Yes
14000,Credit card refinancing,28.31,9+ years,Yes
30000,Debt consolidation,15.9,9+ years,Yes
15000,Debt consolidation,35.93,9+ years,Yes
12000,Debt consolidation,18.76,9+ years,Yes
6400,Debt consolidation,18.45,9+ years,Yes
15000,Credit card refinancing,5.25,3 years,Yes
8000,Credit card refinancing,34.54,< 1 year,Yes
17000,Credit card refinancing,17.24,9+ years,Yes
22400,Debt consolidation,24.83,9+ years,Yes
20000,Debt consolidation,33.62,6 years,Yes
30000,Credit card refinancing,27.7,9+ years,Yes
8000,Debt consolidation,9.18,3 years,Yes
20000,Credit card refinancing,29.68,4 years,Yes
15000,Debt consolidation,18.12,6 years,Yes
22500,Debt consolidation,12.48,9+ years,Yes
12000,Credit card refinancing,8.06,< 1 year,Yes
1500,Home improvement,33.54,9+ years,Yes
25600,Debt consolidation,28.57,7 years,Yes
16000,Home improvement,13.96,< 1 year,Yes
8000,Credit card refinancing,2.21,9+ years,Yes
12000,Debt consolidation,14.88,7 years,Yes
13000,Other,15.76,2 years,Yes
10000,Debt consolidation,20.65,2 years,Yes
8000,Credit card refinancing,20.9,3 years,Yes
35000,Debt consolidation,32.83,9+ years,Yes
13000,Debt consolidation,2.78,3 years,Yes
1000,Home buying,27.54,2 years,Yes
10000,Credit card refinancing,12.53,< 1 year,Yes
2000,Credit card refinancing,0.71,9+ years,Yes
14000,Debt consolidation,13.31,9+ years,Yes
25000,Debt consolidation,16.38,5 years,Yes
10000,Credit card refinancing,9.82,3 years,Yes
20000,Debt consolidation,12.42,< 1 year,Yes
25000,Debt consolidation,35.63,2 years,Yes
6000,Credit card refinancing,31.03,2 years,Yes
35000,Home improvement,1.54,1 year,Yes
8000,Home improvement,33.5,6 years,Yes
40000,Debt consolidation,10.84,9+ years,Yes
21500,Credit card refinancing,13.34,9+ years,Yes
12000,Debt consolidation,31.1,< 1 year,Yes
10000,Debt consolidation,20.69,5 years,Yes
20000,Credit card refinancing,14.5,9+ years,Yes
17000,Debt consolidation,19.74,1 year,Yes
10000,Debt consolidation,16.07,9+ years,Yes
30000,Debt consolidation,27.37,6 years,Yes
32000,Home improvement,19.12,9+ years,Yes
